System	Evaluation	Label	P	R	F1	F1_std	P_std	R_std	TP	FP	FN
team10_bundle1_de_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.553	0.561	0.557				641	518	502
team10_bundle1_de_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.53	0.552	0.541				631	560	512
team10_bundle1_de_3	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.524	0.55	0.537				629	572	514
team33_bundle2_de_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.561	0.315	0.403				360	282	783
team31_bundle2_de_1	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.255	0.283	0.268				323	945	820
team31_bundle2_de_2	NEL-LIT-micro-fuzzy-relaxed-@1	ALL	0.25	0.279	0.264				319	956	824
team10_bundle1_de_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.621	0.63	0.626				720	439	423
team10_bundle1_de_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.607	0.633	0.62				723	468	420
team10_bundle1_de_3	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.605	0.636	0.62				727	474	416
team33_bundle2_de_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.59	0.332	0.425				379	263	764
team31_bundle2_de_1	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.3	0.332	0.315				380	888	763
team31_bundle2_de_2	NEL-LIT-micro-fuzzy-relaxed-@3	ALL	0.296	0.33	0.312				377	898	766
team10_bundle1_de_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.627	0.636	0.632				727	432	416
team10_bundle1_de_3	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.613	0.644	0.628				736	465	407
team10_bundle1_de_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.614	0.64	0.626				731	460	412
team33_bundle2_de_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.601	0.338	0.432				386	256	757
team31_bundle2_de_1	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.311	0.345	0.327				394	874	749
team31_bundle2_de_2	NEL-LIT-micro-fuzzy-relaxed-@5	ALL	0.307	0.343	0.324				392	883	751
team10_bundle1_de_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.384	0.602	0.469				71	114	47
team10_bundle1_de_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.384	0.602	0.469				71	114	47
team10_bundle1_de_3	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.364	0.602	0.454				71	124	47
team31_bundle2_de_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.0	0.0	0				0	44	118
team31_bundle2_de_2	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0.0	0.0	0				0	43	118
team33_bundle2_de_1	NEL-METO-micro-fuzzy-relaxed-@1	ALL	0	0.0	0				0	0	118
team10_bundle1_de_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.449	0.703	0.548				83	102	35
team10_bundle1_de_2	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.449	0.703	0.548				83	102	35
team10_bundle1_de_3	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.426	0.703	0.53				83	112	35
team31_bundle2_de_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.0	0.0	0				0	44	118
team31_bundle2_de_2	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0.0	0.0	0				0	43	118
team33_bundle2_de_1	NEL-METO-micro-fuzzy-relaxed-@3	ALL	0	0.0	0				0	0	118
team10_bundle1_de_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.449	0.703	0.548				83	102	35
team10_bundle1_de_2	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.449	0.703	0.548				83	102	35
team10_bundle1_de_3	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.426	0.703	0.53				83	112	35
team31_bundle2_de_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.0	0.0	0				0	44	118
team31_bundle2_de_2	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0.0	0.0	0				0	43	118
team33_bundle2_de_1	NEL-METO-micro-fuzzy-relaxed-@5	ALL	0	0.0	0				0	0	118
